,School,Avg_Height,Avg_Experience
0,abilene christian,76.0,1.5
1,air force,77.0,1.9
2,akron,77.0,1.2
3,alabama,78.0,0.9
4,alabama am,75.0,0.9
5,alabama state,76.0,1.1
6,albany-ny,77.0,1.8
7,alcorn state,77.0,0.9
8,american,77.0,0.3
9,appalachian state,78.0,1.5
10,arizona,78.0,1.4
11,arizona state,76.0,1.6
12,arkansas,77.0,1.4
13,arkansas little rock,76.0,0.8
14,arkansas pine bluff,77.0,0.8
15,arkansas state,75.0,0.8
16,army,76.0,1.3
17,auburn,76.0,1.1
18,austin peay,76.0,1.2
19,ball state,77.0,1.7
20,baylor,78.0,1.5
21,belmont,78.0,2.3
22,bethune cookman,77.0,0.8
23,binghamton,77.0,1.9
24,boise state,78.0,2.0
25,boston college,79.0,1.2
26,boston university,78.0,1.6
27,bowling green-state,77.0,1.1
28,bradley,77.0,1.3
29,brown,76.0,0.8
30,bryant,76.0,1.5
31,bucknell,77.0,2.0
32,buffalo,77.0,1.2
33,butler,77.0,1.6
34,brigham young,77.0,1.2
35,cal poly,76.0,1.4
36,cal state bakersfield,76.0,1.0
37,cal state fullerton,77.0,1.3
38,cal state northridge,76.0,1.2
39,california,78.0,1.2
40,campbell,76.0,1.5
41,canisius,77.0,1.1
42,central arkansas,76.0,1.7
43,central connecticut state,77.0,1.3
44,central michigan,77.0,1.6
45,charleston southern,77.0,0.7
46,charlotte,78.0,1.3
47,chattanooga,76.0,1.0
48,chicago state,76.0,0.9
49,cincinnati,77.0,1.7
50,clemson,78.0,2.0
51,cleveland state,76.0,1.6
52,coastal carolina,77.0,1.1
53,colgate,77.0,1.8
54,college of charleston,77.0,2.1
55,colorado,78.0,1.1
56,colorado state,77.0,1.0
57,columbia,76.0,1.5
58,connecticut,77.0,1.5
59,coppin state,77.0,0.6
60,cornell,77.0,1.2
61,creighton,77.0,1.7
62,dartmouth,77.0,1.4
63,davidson,78.0,1.7
64,dayton,77.0,1.2
65,delaware,77.0,1.4
66,delaware state,77.0,1.1
67,denver,77.0,1.8
68,depaul,78.0,1.3
69,detroit-mercy,76.0,1.4
70,drake,75.0,2.2
71,drexel,76.0,1.8
72,duke,79.0,0.7
73,duquesne,77.0,1.4
74,east carolina,77.0,1.4
75,east tennessee state,76.0,1.4
76,eastern illinois,76.0,0.9
77,eastern kentucky,76.0,1.1
78,eastern michigan,78.0,1.7
79,eastern washington,77.0,1.7
80,elon,77.0,2.1
81,evansville,78.0,1.2
82,fairfield,76.0,1.1
83,fairleigh dickinson,76.0,1.1
84,florida international,77.0,0.9
85,florida,77.0,1.9
86,florida am,76.0,1.0
87,florida atlantic,78.0,1.6
88,florida gulf coast,77.0,2.0
89,florida state,79.0,1.3
90,fordham,77.0,1.0
91,fresno state,77.0,2.4
92,furman,75.0,2.1
93,gardner webb,76.0,1.4
94,george mason,76.0,0.9
95,george washington,78.0,1.4
96,georgetown,78.0,1.2
97,georgia,79.0,1.7
98,georgia southern,76.0,2.0
99,georgia state,77.0,1.9
100,georgia tech,78.0,1.5
101,gonzaga,78.0,1.7
