,Avg_Height,Avg_Experience
abilene christian,6-2,0.6
air force,6-5,1.6
akron,6-5,1.3
alabama,6-5,1.6
alabama am,6-5,1.0
alabama state,6-3,1.7
albany-ny,6-5,1.2
alcorn state,6-5,0.9
american,6-4,2.2
appalachian state,6-4,1.6
arizona,6-6,1.5
arizona state,6-5,1.2
arkansas,6-6,1.6
arkansas little rock,6-3,1.6
arkansas pine bluff,6-4,1.5
arkansas state,6-4,0.7
army,6-5,1.9
auburn,6-4,1.6
austin peay,6-4,1.1
ball state,6-4,1.2
baylor,6-4,1.3
belmont,6-4,1.5
bethune cookman,6-3,1.9
binghamton,6-4,0.5
boise state,6-5,1.4
boston college,6-6,2.5
boston university,1.2,6.8
bowling green-state,6-4,1.5
bradley,6-5,1.2
brown,6-5,1.2
bryant,6-4,1.9
bucknell,6-4,1.4
buffalo,6-5,1.3
butler,6-5,2.0
brigham young,6-6,1.7
cal poly,6-5,1.7
cal state bakersfield,6-4,1.2
cal state fullerton,6-5,1.6
cal state northridge,6-5,2.1
california,6-6,1.8
campbell,6-4,1.8
canisius,6-4,1.0
central arkansas,6-5,0.2
central connecticut state,6-4,1.2
central michigan,6-5,1.4
charleston southern,6-3,1.8
charlotte,6-6,1.7
chattanooga,6-5,1.5
chicago state,6-4,0.8
cincinnati,6-6,1.1
clemson,6-5,1.7
cleveland state,6-3,2.0
coastal carolina,6-4,1.6
colgate,6-5,2.4
college of charleston,6-5,1.3
colorado,6-6,1.5
colorado state,6-6,1.7
columbia,6-5,1.7
connecticut,6-6,1.3
coppin state,6-3,1.4
cornell,6-4,1.7
creighton,6-5,1.7
dartmouth,6-4,1.9
davidson,6-4,1.3
dayton,6-4,1.5
delaware,6-5,1.0
delaware state,6-4,1.6
denver,6-4,2.0
depaul,6-6,1.5
detroit-mercy,6-5,1.4
drake,6-4,1.0
drexel,6-6,1.4
duke,6-6,1.1
duquesne,6-4,1.4
east carolina,6-5,1.1
east tennessee state,6-3,1.6
eastern illinois,6-3,1.2
eastern kentucky,6-5,1.8
eastern michigan,6-6,1.4
eastern washington,6-5,1.5
elon,6-4,1.5
evansville,6-4,1.5
fairfield,6-4,1.1
fairleigh dickinson,6-3,1.2
florida international,6-5,1.5
florida,6-5,1.7
florida am,6-5,0.1
florida atlantic,6-4,1.6
florida gulf coast,6-6,2.0
florida state,6-7,1.1
fordham,6-5,1.1
fresno state,6-5,1.3
furman,6-4,0.9
gardner webb,6-3,1.9
george mason,6-5,1.2
george washington,6-6,1.7
georgetown,6-6,1.8
georgia,6-5,1.9
georgia southern,6-5,1.5
georgia state,6-5,2.2
georgia tech,6-5,1.9
gonzaga,6-6,2.1
grambling,6-5,0.6
grand canyon,6-4,1.1
green bay,6-5,2.1
hampton,6-4,1.9
hartford,6-4,2.3
harvard,6-5,2.2
hawaii,6-5,0.8
high point,6-5,1.9
hofstra,6-4,1.6
holy cross,6-4,1.9
houston,6-6,1.6
houston baptist,6-4,1.5
howard,6-5,1.5
idaho,6-4,1.1
idaho state,6-5,0.9
illinois,6-5,1.8
illinois chicago,6-4,1.6
illinois state,6-4,0.6
incarnate word,6-4,0.6
